Source	Target	Type	Weight	TotalVal
1	27	Undirected	9.0	9751656
1	44	Undirected	41.0	22452897
1	56	Undirected	18.0	12242615
1	63	Undirected	18.0	12999884
1	64	Undirected	2.0	1282030
1	65	Undirected	4.0	11508271
1	66	Undirected	17.0	13268366
1	76	Undirected	9.0	13239761
1	78	Undirected	16.0	13551232
1	79	Undirected	11.0	14274704
1	80	Undirected	3.0	8216450
1	95	Undirected	1.0	298236
1	105	Undirected	7.0	12940301
1	114	Undirected	2.0	1233540
2	8	Undirected	5.0	16883587
2	9	Undirected	7.0	12115438
2	10	Undirected	13.0	16430818
2	13	Undirected	9.0	5760514
2	14	Undirected	21.0	31662756
2	15	Undirected	5.0	7247698
2	16	Undirected	10.0	7232056
2	17	Undirected	9.0	8794229
2	24	Undirected	16.0	17438486
2	25	Undirected	1.0	187803
2	26	Undirected	3.0	1221793
2	31	Undirected	2.0	9806399
2	34	Undirected	4.0	6110507
2	39	Undirected	1.0	1004316
2	40	Undirected	3.0	1681777
2	42	Undirected	1.0	23578
2	43	Undirected	4.0	6727862
2	45	Undirected	1.0	23578
2	51	Undirected	1.0	492065
2	52	Undirected	2.0	4722049
2	53	Undirected	1.0	2992297
2	55	Undirected	1.0	204437
2	59	Undirected	2.0	1208753
2	62	Undirected	2.0	211381
2	65	Undirected	5.0	14222049
2	68	Undirected	10.0	17463910
2	71	Undirected	3.0	6368293
2	81	Undirected	1.0	461854
2	82	Undirected	4.0	11111182
2	84	Undirected	4.0	7840366
2	87	Undirected	1.0	5140372
2	90	Undirected	4.0	5008057
2	91	Undirected	3.0	5243623
2	100	Undirected	9.0	6467243
2	108	Undirected	3.0	3033117
2	111	Undirected	5.0	7519659
2	112	Undirected	4.0	2943772
2	113	Undirected	7.0	5266721
2	119	Undirected	2.0	1144954
3	20	Undirected	1.0	693517
3	55	Undirected	2.0	1391381
3	88	Undirected	2.0	726137
3	89	Undirected	1.0	697864
3	95	Undirected	1.0	259134
4	5	Undirected	3.0	2822851
4	8	Undirected	1.0	271072
4	23	Undirected	2.0	5610523
4	30	Undirected	1.0	2203028
4	31	Undirected	1.0	480201
4	40	Undirected	1.0	280147
4	49	Undirected	2.0	140482
4	51	Undirected	15.0	27721288
4	52	Undirected	2.0	4154902
4	53	Undirected	7.0	10588371
4	67	Undirected	7.0	4724604
4	68	Undirected	1.0	98669
4	69	Undirected	12.0	24428231
4	70	Undirected	1.0	919337
4	86	Undirected	2.0	40039
4	92	Undirected	21.0	32718018
4	97	Undirected	1.0	480201
4	98	Undirected	3.0	800954
4	101	Undirected	15.0	27453397
4	105	Undirected	1.0	563089
4	114	Undirected	10.0	20247771
4	117	Undirected	11.0	21487139
5	8	Undirected	7.0	7546368
5	17	Undirected	1.0	1430004
5	23	Undirected	2.0	8496278
5	28	Undirected	8.0	21248094
5	30	Undirected	4.0	12408233
5	31	Undirected	5.0	3548764
5	38	Undirected	1.0	1003586
5	39	Undirected	2.0	5066540
5	46	Undirected	2.0	5687384
5	48	Undirected	5.0	5348549
5	49	Undirected	28.0	38779588
5	51	Undirected	13.0	42329648
5	52	Undirected	12.0	21990606
5	53	Undirected	32.0	52859308
5	57	Undirected	2.0	2419050
5	64	Undirected	2.0	9097372
5	65	Undirected	3.0	2815278
5	67	Undirected	9.0	25332333
5	68	Undirected	1.0	98669
5	69	Undirected	5.0	7704088
5	73	Undirected	6.0	3067331
5	74	Undirected	17.0	8124875
5	76	Undirected	1.0	4142427
5	80	Undirected	1.0	6834903
5	82	Undirected	1.0	5004658
5	83	Undirected	1.0	5004658
5	86	Undirected	3.0	11191694
5	92	Undirected	2.0	2578630
5	95	Undirected	1.0	5004658
5	98	Undirected	2.0	16715985
5	99	Undirected	13.0	17507890
5	100	Undirected	2.0	5156666
5	101	Undirected	9.0	14806781
5	103	Undirected	1.0	603425
5	105	Undirected	15.0	65423257
5	107	Undirected	1.0	5004658
5	110	Undirected	1.0	4353851
5	114	Undirected	10.0	16695365
5	115	Undirected	2.0	6325423
5	117	Undirected	12.0	13609081
5	118	Undirected	1.0	1082116
6	9	Undirected	17.0	26821453
6	13	Undirected	1.0	896741
6	17	Undirected	12.0	34697704
6	28	Undirected	2.0	6016768
6	39	Undirected	3.0	966287
6	42	Undirected	1.0	99425
6	46	Undirected	2.0	4093110
6	49	Undirected	5.0	12679231
6	52	Undirected	2.0	4646884
6	53	Undirected	1.0	7174439
6	57	Undirected	1.0	968486
6	68	Undirected	7.0	16735113
6	69	Undirected	1.0	1016559
6	85	Undirected	1.0	275538
6	86	Undirected	1.0	923685
6	87	Undirected	2.0	878960
6	91	Undirected	1.0	896741
6	97	Undirected	1.0	1016559
6	99	Undirected	5.0	7811232
6	100	Undirected	2.0	1238115
7	11	Undirected	1.0	777682
7	12	Undirected	2.0	13624417
7	13	Undirected	8.0	6957224
7	15	Undirected	1.0	314946
7	21	Undirected	1.0	931604
7	29	Undirected	2.0	6659582
7	35	Undirected	3.0	16315185
7	36	Undirected	1.0	1018626
7	38	Undirected	1.0	2524593
7	41	Undirected	1.0	6550555
7	42	Undirected	4.0	16341629
7	49	Undirected	1.0	2690768
7	50	Undirected	3.0	14417333
7	54	Undirected	1.0	6550555
7	62	Undirected	1.0	7073862
7	77	Undirected	1.0	7073862
7	80	Undirected	1.0	2524593
7	91	Undirected	8.0	5882391
7	102	Undirected	2.0	8092488
7	108	Undirected	1.0	314946
7	110	Undirected	1.0	1924296
7	115	Undirected	1.0	6550555
7	120	Undirected	2.0	13624417
7	121	Undirected	1.0	7073862
8	9	Undirected	2.0	4738890
8	10	Undirected	2.0	6218251
8	14	Undirected	3.0	15672150
8	17	Undirected	2.0	1211437
8	23	Undirected	3.0	11272313
8	49	Undirected	3.0	5456702
8	51	Undirected	1.0	4353851
8	53	Undirected	5.0	2995938
8	65	Undirected	4.0	16106251
8	68	Undirected	1.0	5468668
8	69	Undirected	1.0	465494
8	74	Undirected	2.0	1312376
8	79	Undirected	2.0	683254
8	81	Undirected	1.0	461854
8	99	Undirected	1.0	1202384
8	110	Undirected	1.0	4353851
8	115	Undirected	1.0	721298
8	117	Undirected	1.0	4353851
8	118	Undirected	1.0	1202384
8	119	Undirected	1.0	749583
9	10	Undirected	5.0	10738281
9	11	Undirected	2.0	751459
9	13	Undirected	1.0	1074212
9	14	Undirected	10.0	12562274
9	17	Undirected	27.0	49267360
9	22	Undirected	1.0	4066457
9	24	Undirected	2.0	1083401
9	26	Undirected	1.0	272387
9	38	Undirected	1.0	125266
9	40	Undirected	2.0	1810317
9	42	Undirected	1.0	1656509
9	43	Undirected	7.0	12422707
9	45	Undirected	1.0	4920206
9	49	Undirected	1.0	628709
9	52	Undirected	1.0	3502897
9	53	Undirected	1.0	628709
9	57	Undirected	7.0	6199841
9	59	Undirected	2.0	303492
9	60	Undirected	2.0	1351521
9	62	Undirected	5.0	18214192
9	63	Undirected	2.0	1396185
9	65	Undirected	5.0	3003248
9	68	Undirected	14.0	33175745
9	70	Undirected	1.0	4920206
9	71	Undirected	2.0	5449133
9	77	Undirected	1.0	256836
9	83	Undirected	1.0	256836
9	85	Undirected	3.0	13731227
9	87	Undirected	6.0	14281237
9	90	Undirected	21.0	27990078
9	91	Undirected	3.0	4977802
9	97	Undirected	1.0	148602
9	99	Undirected	1.0	1046902
9	100	Undirected	1.0	1656509
9	108	Undirected	5.0	2411175
9	112	Undirected	2.0	1138089
9	119	Undirected	3.0	1636186
10	13	Undirected	2.0	589170
10	14	Undirected	8.0	6836093
10	15	Undirected	3.0	720665
10	17	Undirected	2.0	1152485
10	22	Undirected	4.0	4992989
10	23	Undirected	1.0	3868978
10	24	Undirected	19.0	7103327
10	25	Undirected	20.0	26445540
10	26	Undirected	19.0	22330733
10	27	Undirected	1.0	82069
10	34	Undirected	3.0	6785409
10	39	Undirected	1.0	1004316
10	43	Undirected	4.0	8789992
10	44	Undirected	2.0	1268185
10	53	Undirected	1.0	2992297
10	55	Undirected	3.0	786610
10	59	Undirected	2.0	1208753
10	62	Undirected	14.0	8428085
10	63	Undirected	1.0	381011
10	65	Undirected	8.0	15933752
10	66	Undirected	1.0	866380
10	68	Undirected	2.0	6060837
10	71	Undirected	1.0	4820424
10	76	Undirected	2.0	4249989
10	79	Undirected	2.0	1339043
10	83	Undirected	2.0	836245
10	84	Undirected	1.0	2270296
10	87	Undirected	2.0	844463
10	90	Undirected	10.0	13876352
10	94	Undirected	3.0	5028538
10	95	Undirected	2.0	4714644
10	98	Undirected	1.0	811642
10	100	Undirected	1.0	114916
10	104	Undirected	2.0	993742
10	105	Undirected	1.0	1171149
10	107	Undirected	4.0	11647087
10	108	Undirected	5.0	7947070
10	112	Undirected	1.0	592169
10	113	Undirected	1.0	405368
10	119	Undirected	1.0	749583
11	12	Undirected	1.0	12592
11	17	Undirected	2.0	751459
11	19	Undirected	3.0	2684437
11	23	Undirected	4.0	7931505
11	35	Undirected	13.0	27358700
11	36	Undirected	2.0	7012467
11	39	Undirected	3.0	10247642
11	40	Undirected	4.0	1370385
11	42	Undirected	1.0	4980773
11	43	Undirected	2.0	947093
11	46	Undirected	1.0	3910923
11	47	Undirected	7.0	17679504
11	49	Undirected	1.0	3910923
11	51	Undirected	1.0	3910923
11	53	Undirected	3.0	11548125
11	54	Undirected	28.0	59214516
11	60	Undirected	1.0	12592
11	62	Undirected	1.0	12592
11	72	Undirected	1.0	5930480
11	80	Undirected	2.0	5160523
11	83	Undirected	1.0	511369
11	90	Undirected	2.0	751459
11	91	Undirected	1.0	4980773
11	96	Undirected	7.0	12589161
11	99	Undirected	1.0	4217380
11	100	Undirected	3.0	11328682
11	102	Undirected	1.0	100354
11	104	Undirected	1.0	12592
11	106	Undirected	14.0	24244611
11	109	Undirected	11.0	24307889
11	115	Undirected	8.0	26904846
11	119	Undirected	5.0	5272435
11	120	Undirected	3.0	7746267
12	13	Undirected	5.0	4141585
12	29	Undirected	2.0	10002667
12	34	Undirected	2.0	2784380
12	35	Undirected	2.0	13624417
12	41	Undirected	2.0	13344696
12	42	Undirected	1.0	7073862
12	47	Undirected	2.0	771952
12	50	Undirected	3.0	8470373
12	54	Undirected	1.0	6550555
12	59	Undirected	1.0	764651
12	60	Undirected	1.0	12592
12	62	Undirected	3.0	7856422
12	77	Undirected	1.0	7073862
12	91	Undirected	1.0	764651
12	96	Undirected	1.0	12592
12	102	Undirected	3.0	8857016
12	104	Undirected	1.0	12592
12	106	Undirected	1.0	12592
12	115	Undirected	1.0	6550555
12	120	Undirected	3.0	20418558
12	121	Undirected	1.0	7073862
13	14	Undirected	8.0	3932227
13	15	Undirected	22.0	23962493
13	16	Undirected	4.0	2348755
13	17	Undirected	1.0	896741
13	22	Undirected	2.0	965887
13	23	Undirected	3.0	621378
13	24	Undirected	19.0	19152116
13	25	Undirected	3.0	706725
13	26	Undirected	1.0	61102
13	34	Undirected	9.0	10845797
13	35	Undirected	1.0	295230
13	37	Undirected	1.0	147434
13	38	Undirected	2.0	5169972
13	42	Undirected	4.0	3775795
13	43	Undirected	9.0	17745569
13	45	Undirected	2.0	536947
13	50	Undirected	6.0	5120049
13	52	Undirected	3.0	302001
13	55	Undirected	1.0	204437
13	57	Undirected	10.0	8101318
13	59	Undirected	3.0	480497
13	61	Undirected	1.0	351844
13	62	Undirected	9.0	12363553
13	68	Undirected	1.0	896741
13	70	Undirected	2.0	81021
13	71	Undirected	2.0	81021
13	77	Undirected	1.0	12825
13	80	Undirected	2.0	5169972
13	82	Undirected	1.0	12825
13	83	Undirected	3.0	1374410
13	87	Undirected	2.0	1008167
13	89	Undirected	1.0	19919
13	90	Undirected	9.0	17500556
13	91	Undirected	37.0	67916169
13	94	Undirected	2.0	208536
13	100	Undirected	4.0	321920
13	102	Undirected	4.0	3734853
13	104	Undirected	1.0	61102
13	107	Undirected	1.0	12825
13	108	Undirected	7.0	2237433
13	110	Undirected	4.0	7009880
13	111	Undirected	17.0	14923685
13	112	Undirected	19.0	23478641
13	113	Undirected	3.0	457296
14	15	Undirected	6.0	3984070
14	16	Undirected	2.0	1662081
14	17	Undirected	4.0	5030629
14	24	Undirected	14.0	8189720
14	25	Undirected	1.0	556960
14	43	Undirected	1.0	395371
14	52	Undirected	2.0	10684342
14	57	Undirected	1.0	124188
14	65	Undirected	6.0	12490037
14	68	Undirected	5.0	12045824
14	71	Undirected	1.0	4820424
14	83	Undirected	1.0	13061
14	84	Undirected	2.0	1023588
14	90	Undirected	7.0	3196899
14	108	Undirected	3.0	996689
14	110	Undirected	1.0	372234
14	111	Undirected	1.0	711979
14	112	Undirected	12.0	13678664
14	113	Undirected	6.0	6735533
14	119	Undirected	2.0	886603
15	16	Undirected	5.0	4247230
15	20	Undirected	5.0	2506914
15	23	Undirected	2.0	522814
15	24	Undirected	24.0	28326439
15	25	Undirected	1.0	101608
15	34	Undirected	3.0	954862
15	52	Undirected	3.0	302001
15	55	Undirected	2.0	7066482
15	57	Undirected	1.0	450811
15	77	Undirected	1.0	7071238
15	87	Undirected	1.0	995342
15	88	Undirected	2.0	5940118
15	90	Undirected	1.0	995342
15	91	Undirected	9.0	18644303
15	95	Undirected	1.0	101608
15	100	Undirected	4.0	1793904
15	107	Undirected	1.0	101608
15	108	Undirected	4.0	3511520
15	110	Undirected	2.0	522814
15	111	Undirected	3.0	1128910
15	112	Undirected	2.0	2904339
15	113	Undirected	2.0	957631
16	24	Undirected	9.0	8924335
16	25	Undirected	5.0	1951888
16	26	Undirected	4.0	1067735
16	29	Undirected	1.0	397354
16	34	Undirected	4.0	7570298
16	43	Undirected	3.0	7487875
16	55	Undirected	1.0	451951
16	62	Undirected	3.0	7634308
16	68	Undirected	2.0	1167107
16	69	Undirected	1.0	4884594
16	70	Undirected	1.0	4884594
16	83	Undirected	1.0	4884594
16	87	Undirected	2.0	6783903
16	90	Undirected	1.0	37497
16	94	Undirected	1.0	712184
16	95	Undirected	1.0	595238
16	100	Undirected	3.0	6598761
16	108	Undirected	3.0	2899451
16	111	Undirected	10.0	11713640
16	112	Undirected	3.0	2255513
16	113	Undirected	6.0	3836331
17	40	Undirected	1.0	1363268
17	43	Undirected	2.0	1071231
17	49	Undirected	2.0	7803148
17	52	Undirected	1.0	3502897
17	53	Undirected	4.0	21888718
17	57	Undirected	7.0	3602498
17	60	Undirected	3.0	1963592
17	65	Undirected	4.0	3612600
17	68	Undirected	28.0	40364890
17	69	Undirected	2.0	4658316
17	70	Undirected	2.0	7704275
17	71	Undirected	9.0	19467908
17	81	Undirected	2.0	4721030
17	82	Undirected	2.0	4887636
17	83	Undirected	3.0	5337511
17	85	Undirected	1.0	1363268
17	87	Undirected	2.0	945025
17	88	Undirected	1.0	933470
17	90	Undirected	6.0	3002678
17	91	Undirected	1.0	896741
17	98	Undirected	1.0	1255009
17	99	Undirected	8.0	3949119
17	100	Undirected	4.0	5875203
17	102	Undirected	1.0	4259176
17	108	Undirected	3.0	1809995
17	112	Undirected	1.0	545920
17	119	Undirected	2.0	1144954
18	36	Undirected	1.0	292576
18	62	Undirected	1.0	99058
19	23	Undirected	1.0	416690
19	30	Undirected	1.0	2503462
19	35	Undirected	1.0	1223982
19	40	Undirected	2.0	1055738
19	53	Undirected	2.0	7796157
19	54	Undirected	2.0	2805392
19	58	Undirected	1.0	483159
19	77	Undirected	1.0	1415336
19	91	Undirected	1.0	572579
19	96	Undirected	1.0	1223982
19	109	Undirected	3.0	4144134
19	119	Undirected	6.0	8824651
19	120	Undirected	1.0	1415336
19	121	Undirected	1.0	572579
20	24	Undirected	1.0	96651
20	25	Undirected	2.0	822039
20	26	Undirected	1.0	1325121
20	55	Undirected	7.0	15778752
20	88	Undirected	1.0	101608
20	93	Undirected	2.0	1925805
20	94	Undirected	4.0	2477415
20	95	Undirected	12.0	24883625
20	107	Undirected	1.0	101608
21	28	Undirected	2.0	851049
21	33	Undirected	1.0	179235
21	35	Undirected	1.0	2999605
21	37	Undirected	1.0	179235
21	40	Undirected	20.0	2931119
21	91	Undirected	1.0	931604
21	100	Undirected	3.0	1789626
22	27	Undirected	3.0	5595611
22	40	Undirected	8.0	7173794
22	57	Undirected	3.0	4617885
22	61	Undirected	1.0	100629
22	71	Undirected	6.0	2543354
22	83	Undirected	2.0	116835
22	84	Undirected	9.0	10704963
22	85	Undirected	4.0	1485547
22	87	Undirected	2.0	844463
22	88	Undirected	1.0	70402
22	90	Undirected	9.0	5909174
22	91	Undirected	6.0	11980457
22	96	Undirected	1.0	4501050
22	100	Undirected	1.0	97812
22	108	Undirected	1.0	100629
23	24	Undirected	4.0	4899467
23	25	Undirected	2.0	4346758
23	26	Undirected	1.0	477780
23	27	Undirected	1.0	161542
23	28	Undirected	3.0	4761880
23	35	Undirected	1.0	283789
23	36	Undirected	3.0	7768483
23	38	Undirected	1.0	2364080
23	39	Undirected	2.0	1980634
23	40	Undirected	1.0	477780
23	49	Undirected	1.0	807635
23	51	Undirected	8.0	22311221
23	53	Undirected	1.0	2364080
23	54	Undirected	1.0	5374638
23	57	Undirected	1.0	1408691
23	63	Undirected	3.0	4038749
23	65	Undirected	6.0	18173798
23	67	Undirected	4.0	7679638
23	76	Undirected	8.0	17967272
23	79	Undirected	1.0	3692569
23	80	Undirected	2.0	2759302
23	91	Undirected	1.0	756016
23	93	Undirected	1.0	841259
23	96	Undirected	1.0	5374638
23	100	Undirected	1.0	756016
23	101	Undirected	1.0	507675
23	105	Undirected	7.0	15402117
23	109	Undirected	4.0	7931505
23	110	Undirected	5.0	11145315
23	113	Undirected	1.0	98564
23	114	Undirected	3.0	2746465
23	115	Undirected	5.0	8631335
23	117	Undirected	2.0	4749073
23	119	Undirected	4.0	13755997
23	120	Undirected	3.0	7272647
24	25	Undirected	26.0	16777631
24	26	Undirected	11.0	546881
24	29	Undirected	1.0	397354
24	34	Undirected	4.0	1361847
24	39	Undirected	1.0	507675
24	43	Undirected	4.0	16496763
24	45	Undirected	4.0	9609828
24	55	Undirected	1.0	488453
