source	target	value
Algebra	Continuum Mechanics	9
Algebra	Geometry & Topology	39
Algebra	Logic and Combinatorics	16
Algebra	Mathematical Analysis	17
Algebra	Mathematical Aspects of Operational Research	4
Algebra	Mathematical Physics	17
Algebra	Non-Linear Systems	10
Algebra	Number Theory	16
Algebra	Numerical Analysis	11
Algebra	Quantum Optics and Information	1
Algebra	Statistics and Applied Probability	8
Algebra	Theory of Computation	3
Analytical Science	Biological Informatics	5
Analytical Science	Biomaterials and Tissue Engineering	7
Analytical Science	Biophysics and Soft Matter Physics	13
Analytical Science	Catalysis	9
Analytical Science	Chemical Biology and Biological Chemistry	23
Analytical Science	Chemical Reaction Dynamics and Mechanisms	4
Analytical Science	Chemical Structure	12
Analytical Science	Clinical Technologies (excluding imaging)	9
Analytical Science	Computational & Theoretical Chemistry	17
Analytical Science	Condensed Matter: Electronic Structure	1
Analytical Science	Condensed Matter: Magnetism and Magnetic Materials	3
Analytical Science	Digital Signal Processing	2
Analytical Science	Electrochemical Sciences	4
Analytical Science	Engineering Design	1
Analytical Science	Fluid Dynamics and Aerodynamics	3
Analytical Science	Fuel Cell Technology	1
Analytical Science	Functional Ceramics and Inorganics	3
Analytical Science	Graphene and Carbon Nanotechnology	1
Analytical Science	ICT Networks & Distributed Systems	1
Analytical Science	Image and Vision Computing	2
Analytical Science	Information Systems	1
Analytical Science	Light Matter Interaction and Optical Phenomena	1
Analytical Science	Materials Engineering - Ceramics	2
Analytical Science	Materials For Energy Applications	2
Analytical Science	Mathematical Analysis	1
Analytical Science	Medical Imaging (inc medical image and vision computing)	11
Analytical Science	Microsystems	3
Analytical Science	Non-Linear Systems	2
Analytical Science	Optical Communications	1
Analytical Science	Optical Devices and Subsystems	4
Analytical Science	Particle Technology	4
Analytical Science	Polymer Materials	4
Analytical Science	Process Systems: Components and Integration	3
Analytical Science	Sensors and Instrumentation	9
Analytical Science	Statistics and Applied Probability	3
Analytical Science	Surface Science	3
Analytical Science	Synthetic Coordination Chemistry	5
Analytical Science	Synthetic Organic Chemistry	4
Analytical Science	Synthetic Supramolecular Chemistry	7
Analytical Science	Water Engineering	2
Antihydrogen	Cold Atoms and Molecules	1
Antihydrogen	Light Matter Interaction and Optical Phenomena	2
Antihydrogen	Plasma and Lasers	2
Antihydrogen	Plasmonics	1
Antihydrogen	Quantum Optics and Information	1
Architecture and Operating Systems	Artificial Intelligence Technologies	3
Architecture and Operating Systems	Biological Informatics	1
Architecture and Operating Systems	Complexity Science	2
Architecture and Operating Systems	Databases	1
Architecture and Operating Systems	Digital Signal Processing	1
Architecture and Operating Systems	Fluid Dynamics and Aerodynamics	1
Architecture and Operating Systems	Human-Computer Interaction	1
Architecture and Operating Systems	ICT Networks & Distributed Systems	15
Architecture and Operating Systems	Image and Vision Computing	2
Architecture and Operating Systems	Information Systems	8
Architecture and Operating Systems	Maths of Computing	7
Architecture and Operating Systems	Medical Imaging (inc medical image and vision computing)	1
Architecture and Operating Systems	Microelectronics Design	12
Architecture and Operating Systems	Non CMOS Device Technology	1
Architecture and Operating Systems	Pervasive and Ubiquitous Computing	2
Architecture and Operating Systems	Programming Languages and Compilers	23
Architecture and Operating Systems	RF & Microwave Devices	1
Architecture and Operating Systems	RF & MW Communications	3
Architecture and Operating Systems	Software Engineering	15
Architecture and Operating Systems	Statistics and Applied Probability	1
Architecture and Operating Systems	Theory of Computation	11
Architecture and Operating Systems	Verification and Correctness	12
Artificial Intelligence Technologies	Biological Informatics	8
Artificial Intelligence Technologies	Clinical Technologies (excluding imaging)	1
Artificial Intelligence Technologies	Complexity Science	4
Artificial Intelligence Technologies	Control Engineering	8
Artificial Intelligence Technologies	Databases	5
Artificial Intelligence Technologies	Digital Signal Processing	5
Artificial Intelligence Technologies	Engineering Approaches to Manufacturing Operations	1
Artificial Intelligence Technologies	Engineering Design	2
Artificial Intelligence Technologies	Graphics and Visualisation	2
Artificial Intelligence Technologies	Human Communication in ICT	6
Artificial Intelligence Technologies	Human-Computer Interaction	30
Artificial Intelligence Technologies	ICT Networks & Distributed Systems	13
Artificial Intelligence Technologies	Image and Vision Computing	12
Artificial Intelligence Technologies	Information Systems	34
Artificial Intelligence Technologies	Manufacturing Technologies	2
Artificial Intelligence Technologies	Mathematical Aspects of Operational Research	2
Artificial Intelligence Technologies	Maths of Computing	9
Artificial Intelligence Technologies	Medical Imaging (inc medical image and vision computing)	1
Artificial Intelligence Technologies	Microelectronics Design	5
Artificial Intelligence Technologies	Music and Acoustic Technology	6
Artificial Intelligence Technologies	Natural Language Processing	17
Artificial Intelligence Technologies	Non-Linear Systems	1
Artificial Intelligence Technologies	Optical Devices and Subsystems	1
Artificial Intelligence Technologies	Optoelectronic Devices and Circuits	1
Artificial Intelligence Technologies	Pervasive and Ubiquitous Computing	4
Artificial Intelligence Technologies	Programming Languages and Compilers	2
Artificial Intelligence Technologies	Quantum Optics and Information	1
Artificial Intelligence Technologies	RF & MW Communications	2
Artificial Intelligence Technologies	Robotics	14
Artificial Intelligence Technologies	Sensors and Instrumentation	2
Artificial Intelligence Technologies	Software Engineering	9
Artificial Intelligence Technologies	Speech Technology	1
Artificial Intelligence Technologies	Statistics and Applied Probability	17
Artificial Intelligence Technologies	Superconductivity	1
Artificial Intelligence Technologies	Synthetic Biology	1
Artificial Intelligence Technologies	Theory of Computation	10
Artificial Intelligence Technologies	Transportation Operations and Management	2
Artificial Intelligence Technologies	Verification and Correctness	12
Artificial Intelligence Technologies	Vision, Hearing and Other Senses	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Biomaterials and Tissue Engineering	17
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Catalysis	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Clinical Technologies (excluding imaging)	12
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Control Engineering	2
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Engineering Design	3
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Fuel Cell Technology	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Graphics and Visualisation	2
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Human-Computer Interaction	5
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Image and Vision Computing	2
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Information Systems	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Manufacturing Technologies	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Medical Imaging (inc medical image and vision computing)	7
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Microelectronics Design	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Numerical Analysis	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Performance and Inspection of Mechanical Structures and Systems	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Pervasive and Ubiquitous Computing	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Photonic Materials and Metamaterials	2
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Process Systems: Components and Integration	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	RF & Microwave Devices	1
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Robotics	5
Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	Sensors and Instrumentation	2
Bioenergy	Built Environment	1
Bioenergy	Carbon Capture and Storage	2
Bioenergy	Catalysis	8
Bioenergy	Chemical Reaction Dynamics and Mechanisms	1
Bioenergy	Conventional Generation & Combustion	3
Bioenergy	Energy Efficiency (End Use Energy Demand)	3
Bioenergy	Energy Networks	1
Bioenergy	Engineering Approaches to Manufacturing Operations	1
Bioenergy	Fuel Cell Technology	4
Bioenergy	Human-Computer Interaction	1
Bioenergy	Hydrogen and Alternative Energy Vectors	3
Bioenergy	Materials For Energy Applications	1
Bioenergy	Nuclear Fission	1
Bioenergy	Process Systems: Components and Integration	8
Bioenergy	Solar Technology	2
Bioenergy	Surface Science	1
Bioenergy	Synthetic Biology	1
Bioenergy	Transportation Operations and Management	1
Bioenergy	Whole Energy Systems	2
Bioenergy	Wind Power	1
Biological Informatics	Biomaterials and Tissue Engineering	2
Biological Informatics	Biophysics and Soft Matter Physics	2
Biological Informatics	Chemical Biology and Biological Chemistry	3
Biological Informatics	Clinical Technologies (excluding imaging)	2
Biological Informatics	Complexity Science	4
Biological Informatics	Control Engineering	2
Biological Informatics	Databases	1
Biological Informatics	Human-Computer Interaction	3
Biological Informatics	ICT Networks & Distributed Systems	1
Biological Informatics	Information Systems	6
Biological Informatics	Medical Imaging (inc medical image and vision computing)	1
Biological Informatics	Microelectronics Design	1
Biological Informatics	Natural Language Processing	3
Biological Informatics	Non-Linear Systems	3
Biological Informatics	Numerical Analysis	2
Biological Informatics	Optical Communications	1
Biological Informatics	Robotics	2
Biological Informatics	Statistics and Applied Probability	3
Biological Informatics	Synthetic Biology	1
Biological Informatics	Transportation Operations and Management	1
Biological Informatics	Verification and Correctness	1
Biological Informatics	Vision, Hearing and Other Senses	2
Biological Informatics	Water Engineering	1
Biomaterials and Tissue Engineering	Biophysics and Soft Matter Physics	5
Biomaterials and Tissue Engineering	Catalysis	1
Biomaterials and Tissue Engineering	Chemical Biology and Biological Chemistry	10
Biomaterials and Tissue Engineering	Clinical Technologies (excluding imaging)	25
Biomaterials and Tissue Engineering	Complex Fluids & Rheology	1
Biomaterials and Tissue Engineering	Computational & Theoretical Chemistry	3
Biomaterials and Tissue Engineering	Condensed Matter: Magnetism and Magnetic Materials	1
Biomaterials and Tissue Engineering	Continuum Mechanics	1
Biomaterials and Tissue Engineering	Engineering Approaches to Manufacturing Operations	1
Biomaterials and Tissue Engineering	Fluid Dynamics and Aerodynamics	2
Biomaterials and Tissue Engineering	Fuel Cell Technology	1
Biomaterials and Tissue Engineering	Functional Ceramics and Inorganics	8
Biomaterials and Tissue Engineering	Graphene and Carbon Nanotechnology	1
Biomaterials and Tissue Engineering	Human-Computer Interaction	1
Biomaterials and Tissue Engineering	Image and Vision Computing	1
Biomaterials and Tissue Engineering	Information Systems	1
Biomaterials and Tissue Engineering	Manufacturing Technologies	7
Biomaterials and Tissue Engineering	Materials Engineering - Ceramics	2
Biomaterials and Tissue Engineering	Materials Engineering - Composites	2
Biomaterials and Tissue Engineering	Materials For Energy Applications	5
Biomaterials and Tissue Engineering	Mathematical Analysis	2
Biomaterials and Tissue Engineering	Medical Imaging (inc medical image and vision computing)	14
Biomaterials and Tissue Engineering	Microsystems	2
Biomaterials and Tissue Engineering	Non CMOS Device Technology	1
Biomaterials and Tissue Engineering	Nuclear Fission	1
Biomaterials and Tissue Engineering	Optoelectronic Devices and Circuits	1
Biomaterials and Tissue Engineering	Performance and Inspection of Mechanical Structures and Systems	3
Biomaterials and Tissue Engineering	Photonic Materials and Metamaterials	6
Biomaterials and Tissue Engineering	Polymer Materials	18
Biomaterials and Tissue Engineering	Process Systems: Components and Integration	4
Biomaterials and Tissue Engineering	RF & Microwave Devices	1
Biomaterials and Tissue Engineering	Robotics	1
Biomaterials and Tissue Engineering	Sensors and Instrumentation	1
Biomaterials and Tissue Engineering	Statistics and Applied Probability	4
Biomaterials and Tissue Engineering	Surface Science	5
Biomaterials and Tissue Engineering	Synthetic Organic Chemistry	2
Biomaterials and Tissue Engineering	Water Engineering	3
Biophysics and Soft Matter Physics	Catalysis	2
Biophysics and Soft Matter Physics	Chemical Biology and Biological Chemistry	8
Biophysics and Soft Matter Physics	Chemical Reaction Dynamics and Mechanisms	3
Biophysics and Soft Matter Physics	Clinical Technologies (excluding imaging)	2
Biophysics and Soft Matter Physics	Complex Fluids & Rheology	4
Biophysics and Soft Matter Physics	Complexity Science	1
Biophysics and Soft Matter Physics	Computational & Theoretical Chemistry	19
Biophysics and Soft Matter Physics	Condensed Matter: Electronic Structure	19
Biophysics and Soft Matter Physics	Condensed Matter: Magnetism and Magnetic Materials	18
Biophysics and Soft Matter Physics	Continuum Mechanics	3
Biophysics and Soft Matter Physics	Electrochemical Sciences	3
Biophysics and Soft Matter Physics	Engineering Design	1
Biophysics and Soft Matter Physics	Functional Ceramics and Inorganics	3
Biophysics and Soft Matter Physics	Geometry & Topology	2
Biophysics and Soft Matter Physics	Information Systems	1
Biophysics and Soft Matter Physics	Light Matter Interaction and Optical Phenomena	3
Biophysics and Soft Matter Physics	Materials Engineering - Ceramics	2
Biophysics and Soft Matter Physics	Materials For Energy Applications	14
Biophysics and Soft Matter Physics	Mathematical Analysis	2
Biophysics and Soft Matter Physics	Mathematical Physics	1
Biophysics and Soft Matter Physics	Medical Imaging (inc medical image and vision computing)	2
Biophysics and Soft Matter Physics	Microsystems	1
Biophysics and Soft Matter Physics	Non-Linear Systems	2
Biophysics and Soft Matter Physics	Numerical Analysis	2
Biophysics and Soft Matter Physics	Optoelectronic Devices and Circuits	2
Biophysics and Soft Matter Physics	Particle Technology	1
Biophysics and Soft Matter Physics	Photonic Materials and Metamaterials	2
Biophysics and Soft Matter Physics	Polymer Materials	9
Biophysics and Soft Matter Physics	Quantum Fluids and Solids	3
Biophysics and Soft Matter Physics	Quantum Optics and Information	2
Biophysics and Soft Matter Physics	Sensors and Instrumentation	1
Biophysics and Soft Matter Physics	Spintronics	1
Biophysics and Soft Matter Physics	Statistics and Applied Probability	5
Biophysics and Soft Matter Physics	Superconductivity	3
Biophysics and Soft Matter Physics	Surface Science	4
Biophysics and Soft Matter Physics	Synthetic Organic Chemistry	1
Biophysics and Soft Matter Physics	Synthetic Supramolecular Chemistry	1
Biophysics and Soft Matter Physics	Water Engineering	1
Built Environment	Carbon Capture and Storage	1
Built Environment	Coastal and Waterway Engineering	3
Built Environment	Complexity Science	4
Built Environment	Energy Efficiency (End Use Energy Demand)	14
Built Environment	Energy Networks	3
Built Environment	Engineering Design	3
Built Environment	Fluid Dynamics and Aerodynamics	5
Built Environment	Fuel Cell Technology	1
Built Environment	Functional Ceramics and Inorganics	2
Built Environment	Graphics and Visualisation	1
Built Environment	Ground Engineering	7
Built Environment	Human-Computer Interaction	1
Built Environment	ICT Networks & Distributed Systems	1
Built Environment	Information Systems	3
Built Environment	Materials Engineering - Composites	1
Built Environment	Materials For Energy Applications	1
Built Environment	Mobile Computing	1
Built Environment	Operational Research	1
Built Environment	Optical Communications	1
Built Environment	Optoelectronic Devices and Circuits	2
Built Environment	Process Systems: Components and Integration	1
Built Environment	Resource Efficiency	7
Built Environment	Robotics	1
Built Environment	Sensors and Instrumentation	3
Built Environment	Solar Technology	1
Built Environment	Spintronics	1
Built Environment	Structural Engineering	14
Built Environment	Sustainable Land Management	13
Built Environment	Transportation Operations and Management	8
Built Environment	Water Engineering	5
Built Environment	Whole Energy Systems	3
Carbon Capture and Storage	Catalysis	5
Carbon Capture and Storage	Conventional Generation & Combustion	3
Carbon Capture and Storage	Electrochemical Sciences	2
Carbon Capture and Storage	Energy Efficiency (End Use Energy Demand)	2
Carbon Capture and Storage	Fuel Cell Technology	1
Carbon Capture and Storage	Ground Engineering	2
Carbon Capture and Storage	Hydrogen and Alternative Energy Vectors	3
Carbon Capture and Storage	Materials Engineering - Ceramics	1
Carbon Capture and Storage	Materials Engineering - Composites	1
Carbon Capture and Storage	Materials For Energy Applications	3
Carbon Capture and Storage	Nuclear Fission	1
Carbon Capture and Storage	Process Systems: Components and Integration	1
Carbon Capture and Storage	Resource Efficiency	1
Carbon Capture and Storage	Solar Technology	3
Carbon Capture and Storage	Spintronics	1
Carbon Capture and Storage	Structural Engineering	1
Carbon Capture and Storage	Transportation Operations and Management	1
Carbon Capture and Storage	Whole Energy Systems	3
Carbon Capture and Storage	Wind Power	1
Catalysis	Chemical Biology and Biological Chemistry	8
Catalysis	Chemical Reaction Dynamics and Mechanisms	21
Catalysis	Chemical Structure	4
Catalysis	Clinical Technologies (excluding imaging)	1
Catalysis	Complex Fluids & Rheology	2
Catalysis	Complexity Science	3
Catalysis	Computational & Theoretical Chemistry	18
Catalysis	Condensed Matter: Electronic Structure	3
Catalysis	Condensed Matter: Magnetism and Magnetic Materials	1
Catalysis	Electrochemical Sciences	9
Catalysis	Energy Efficiency (End Use Energy Demand)	1
Catalysis	Energy Storage	1
Catalysis	Engineering Approaches to Manufacturing Operations	2
Catalysis	Fuel Cell Technology	4
Catalysis	Functional Ceramics and Inorganics	9
Catalysis	Graphene and Carbon Nanotechnology	2
Catalysis	Hydrogen and Alternative Energy Vectors	6
Catalysis	Image and Vision Computing	3
Catalysis	Light Matter Interaction and Optical Phenomena	1
Catalysis	Manufacturing Technologies	11
Catalysis	Materials Engineering - Ceramics	3
Catalysis	Materials Engineering - Metals & Alloys	2
Catalysis	Materials For Energy Applications	9
Catalysis	Medical Imaging (inc medical image and vision computing)	1
Catalysis	Microsystems	2
Catalysis	Non CMOS Device Technology	2
Catalysis	Nuclear Fission	1
Catalysis	Optical Devices and Subsystems	1
Catalysis	Optoelectronic Devices and Circuits	3
Catalysis	Photonic Materials and Metamaterials	2
Catalysis	Plasmonics	1
Catalysis	Polymer Materials	9
Catalysis	Process Systems: Components and Integration	35
Catalysis	Quantum Fluids and Solids	2
Catalysis	Sensors and Instrumentation	4
Catalysis	Solar Technology	4
Catalysis	Spintronics	1
Catalysis	Superconductivity	1
Catalysis	Surface Science	7
Catalysis	Synthetic Biology	4
Catalysis	Synthetic Coordination Chemistry	17
Catalysis	Synthetic Organic Chemistry	18
Catalysis	Synthetic Supramolecular Chemistry	3
Chemical Biology and Biological Chemistry	Chemical Reaction Dynamics and Mechanisms	6
Chemical Biology and Biological Chemistry	Chemical Structure	4
Chemical Biology and Biological Chemistry	Clinical Technologies (excluding imaging)	4
Chemical Biology and Biological Chemistry	Computational & Theoretical Chemistry	14
Chemical Biology and Biological Chemistry	Condensed Matter: Electronic Structure	1
Chemical Biology and Biological Chemistry	Functional Ceramics and Inorganics	1
Chemical Biology and Biological Chemistry	Image and Vision Computing	2
Chemical Biology and Biological Chemistry	Manufacturing Technologies	1
Chemical Biology and Biological Chemistry	Mathematical Analysis	1
Chemical Biology and Biological Chemistry	Medical Imaging (inc medical image and vision computing)	5
Chemical Biology and Biological Chemistry	Microsystems	1
Chemical Biology and Biological Chemistry	Non-Linear Systems	2
Chemical Biology and Biological Chemistry	Optoelectronic Devices and Circuits	1
Chemical Biology and Biological Chemistry	Particle Technology	2
Chemical Biology and Biological Chemistry	Polymer Materials	7
Chemical Biology and Biological Chemistry	Statistics and Applied Probability	4
Chemical Biology and Biological Chemistry	Surface Science	4
Chemical Biology and Biological Chemistry	Synthetic Biology	1
Chemical Biology and Biological Chemistry	Synthetic Coordination Chemistry	1
Chemical Biology and Biological Chemistry	Synthetic Organic Chemistry	12
Chemical Biology and Biological Chemistry	Synthetic Supramolecular Chemistry	6
Chemical Biology and Biological Chemistry	Water Engineering	2
Chemical Reaction Dynamics and Mechanisms	Chemical Structure	5
Chemical Reaction Dynamics and Mechanisms	Cold Atoms and Molecules	5
Chemical Reaction Dynamics and Mechanisms	Complexity Science	2
Chemical Reaction Dynamics and Mechanisms	Computational & Theoretical Chemistry	22
Chemical Reaction Dynamics and Mechanisms	Condensed Matter: Electronic Structure	1
Chemical Reaction Dynamics and Mechanisms	Electrochemical Sciences	3
Chemical Reaction Dynamics and Mechanisms	Image and Vision Computing	3
Chemical Reaction Dynamics and Mechanisms	Light Matter Interaction and Optical Phenomena	3
Chemical Reaction Dynamics and Mechanisms	Manufacturing Technologies	1
Chemical Reaction Dynamics and Mechanisms	Nuclear Fission	1
Chemical Reaction Dynamics and Mechanisms	Photonic Materials and Metamaterials	1
Chemical Reaction Dynamics and Mechanisms	Plasma and Lasers	2
Chemical Reaction Dynamics and Mechanisms	Polymer Materials	1
Chemical Reaction Dynamics and Mechanisms	Process Systems: Components and Integration	8
Chemical Reaction Dynamics and Mechanisms	Quantum Optics and Information	1
Chemical Reaction Dynamics and Mechanisms	Sensors and Instrumentation	4
Chemical Reaction Dynamics and Mechanisms	Superconductivity	1
Chemical Reaction Dynamics and Mechanisms	Surface Science	4
Chemical Reaction Dynamics and Mechanisms	Synthetic Biology	2
Chemical Reaction Dynamics and Mechanisms	Synthetic Coordination Chemistry	4
Chemical Reaction Dynamics and Mechanisms	Synthetic Organic Chemistry	2
Chemical Reaction Dynamics and Mechanisms	Synthetic Supramolecular Chemistry	2
Chemical Structure	CMOS Device Technology	1
Chemical Structure	Computational & Theoretical Chemistry	9
Chemical Structure	Condensed Matter: Electronic Structure	5
Chemical Structure	Condensed Matter: Magnetism and Magnetic Materials	4
Chemical Structure	Conventional Generation & Combustion	1
Chemical Structure	Electrochemical Sciences	3
Chemical Structure	Functional Ceramics and Inorganics	2
Chemical Structure	Light Matter Interaction and Optical Phenomena	1
Chemical Structure	Materials For Energy Applications	2
Chemical Structure	Medical Imaging (inc medical image and vision computing)	2
Chemical Structure	Microelectronics Design	1
Chemical Structure	Optoelectronic Devices and Circuits	1
Chemical Structure	Photonic Materials and Metamaterials	1
Chemical Structure	Polymer Materials	1
Chemical Structure	Quantum Fluids and Solids	1
Chemical Structure	Quantum Optics and Information	1
Chemical Structure	Sensors and Instrumentation	3
Chemical Structure	Surface Science	3
Chemical Structure	Synthetic Coordination Chemistry	9
Chemical Structure	Synthetic Organic Chemistry	3
Chemical Structure	Synthetic Supramolecular Chemistry	6
Clinical Technologies (excluding imaging)	Continuum Mechanics	1
Clinical Technologies (excluding imaging)	Fluid Dynamics and Aerodynamics	1
Clinical Technologies (excluding imaging)	Functional Ceramics and Inorganics	2
Clinical Technologies (excluding imaging)	Human-Computer Interaction	2
Clinical Technologies (excluding imaging)	Image and Vision Computing	1
Clinical Technologies (excluding imaging)	Information Systems	4
Clinical Technologies (excluding imaging)	Manufacturing Technologies	7
Clinical Technologies (excluding imaging)	Materials Engineering - Composites	4
Clinical Technologies (excluding imaging)	Mathematical Analysis	1
Clinical Technologies (excluding imaging)	Medical Imaging (inc medical image and vision computing)	29
Clinical Technologies (excluding imaging)	Microelectronics Design	2
Clinical Technologies (excluding imaging)	Microsystems	9
Clinical Technologies (excluding imaging)	Non CMOS Device Technology	2
Clinical Technologies (excluding imaging)	Numerical Analysis	1
Clinical Technologies (excluding imaging)	Optical Communications	2
Clinical Technologies (excluding imaging)	Optical Devices and Subsystems	2
Clinical Technologies (excluding imaging)	Optoelectronic Devices and Circuits	3
Clinical Technologies (excluding imaging)	Performance and Inspection of Mechanical Structures and Systems	1
Clinical Technologies (excluding imaging)	Photonic Materials and Metamaterials	2
Clinical Technologies (excluding imaging)	Plasma and Lasers	1
Clinical Technologies (excluding imaging)	Polymer Materials	4
Clinical Technologies (excluding imaging)	Process Systems: Components and Integration	1
Clinical Technologies (excluding imaging)	RF & MW Communications	1
Clinical Technologies (excluding imaging)	Robotics	8
Clinical Technologies (excluding imaging)	Sensors and Instrumentation	4
Clinical Technologies (excluding imaging)	Solar Technology	1
Clinical Technologies (excluding imaging)	Statistics and Applied Probability	4
Clinical Technologies (excluding imaging)	Surface Science	3
Clinical Technologies (excluding imaging)	Synthetic Organic Chemistry	1
Clinical Technologies (excluding imaging)	Water Engineering	2
CMOS Device Technology	Condensed Matter: Electronic Structure	1
CMOS Device Technology	Energy Networks	1
CMOS Device Technology	Materials For Energy Applications	1
CMOS Device Technology	Microelectronics Design	3
CMOS Device Technology	Non CMOS Device Technology	4
CMOS Device Technology	Optoelectronic Devices and Circuits	1
CMOS Device Technology	Quantum Optics and Information	1
CMOS Device Technology	Sensors and Instrumentation	1
CMOS Device Technology	Spintronics	1
Coastal and Waterway Engineering	Complexity Science	1
Coastal and Waterway Engineering	Databases	1
Coastal and Waterway Engineering	Energy Efficiency (End Use Energy Demand)	1
Coastal and Waterway Engineering	Fluid Dynamics and Aerodynamics	2
Coastal and Waterway Engineering	Information Systems	2
Coastal and Waterway Engineering	Marine Wave and Tidal	1
Coastal and Waterway Engineering	Nuclear Fission	1
Coastal and Waterway Engineering	Process Systems: Components and Integration	1
Coastal and Waterway Engineering	Resource Efficiency	1
Coastal and Waterway Engineering	Sustainable Land Management	4
Coastal and Waterway Engineering	Water Engineering	6
Coastal and Waterway Engineering	Whole Energy Systems	1
Coastal and Waterway Engineering	Wind Power	1
Cold Atoms and Molecules	Computational & Theoretical Chemistry	1
Cold Atoms and Molecules	Condensed Matter: Electronic Structure	3
Cold Atoms and Molecules	Condensed Matter: Magnetism and Magnetic Materials	1
Cold Atoms and Molecules	Light Matter Interaction and Optical Phenomena	7
Cold Atoms and Molecules	Plasma and Lasers	1
Cold Atoms and Molecules	Quantum Devices, Components and Systems	2
Cold Atoms and Molecules	Quantum Fluids and Solids	4
Cold Atoms and Molecules	Quantum Optics and Information	13
Cold Atoms and Molecules	Superconductivity	1
Complex Fluids & Rheology	Continuum Mechanics	3
Complex Fluids & Rheology	Fluid Dynamics and Aerodynamics	8
Complex Fluids & Rheology	Manufacturing Technologies	3
Complex Fluids & Rheology	Materials Engineering - Metals & Alloys	1
Complex Fluids & Rheology	Microsystems	6
Complex Fluids & Rheology	Optoelectronic Devices and Circuits	2
Complex Fluids & Rheology	Particle Technology	9
Complex Fluids & Rheology	Performance and Inspection of Mechanical Structures and Systems	4
Complex Fluids & Rheology	Photonic Materials and Metamaterials	2
Complex Fluids & Rheology	Plasma and Lasers	1
Complex Fluids & Rheology	Polymer Materials	9
Complex Fluids & Rheology	Process Systems: Components and Integration	6
Complex Fluids & Rheology	Resource Efficiency	1
Complex Fluids & Rheology	Sensors and Instrumentation	1
Complex Fluids & Rheology	Surface Science	1
Complexity Science	Computational & Theoretical Chemistry	4
Complexity Science	Condensed Matter: Electronic Structure	2
Complexity Science	Condensed Matter: Magnetism and Magnetic Materials	1
Complexity Science	Continuum Mechanics	1
Complexity Science	Control Engineering	3
